"ar,c,rho",0.649375;0.65375,0.2525;0.254375,1.65375;1.6678125000000001,10,0.001,0,2
"ar,c,rho",0.645;0.649375,0.254375;0.25625,1.6678125000000001;1.681875,10,0.001,0,2
"ar,c,rho",0.645;0.649375,0.254375;0.25625,1.65375;1.6678125000000001,10,0.001,0,2
"ar,c,rho",0.43999999999999995;0.44499999999999995,0.44999999999999996;0.45499999999999996,0.46499999999999997;0.47,10,0.001,0,2
"ar,c,rho",0.645;0.649375,0.2525;0.254375,1.65375;1.6678125000000001,10,0.001,0,2
"ar,c,rho",0.44499999999999995;0.44999999999999996,0.44999999999999996;0.45499999999999996,0.46499999999999997;0.47,10,0.001,0,2
"ar,c,rho",0.43999999999999995;0.44999999999999996,0.42;0.42999999999999994,0.49;0.5,10,0.001,0,2
"ar,c,rho",0.43999999999999995;0.44499999999999995,0.45499999999999996;0.45999999999999996,0.45999999999999996;0.46499999999999997,10,0.001,0,2
"ar,c,rho",0.43999999999999995;0.44999999999999996,0.42;0.42999999999999994,0.48;0.49,10,0.001,0,2
"ar,c,rho",0.6165625000000001;0.6187500000000001,0.258125;0.2590625,1.36546875;1.3725,10,0.001,0,2
"ar,c,rho",0.6165625000000001;0.6187500000000001,0.258125;0.2590625,1.3584375;1.36546875,10,0.001,0,2
"ar,c,rho",0.6231250000000002;0.6253125000000002,0.2478125;0.24875,1.3021875;1.30921875,10,0.001,0,2
"ar,c,rho",0.44999999999999996;0.45999999999999996,0.44999999999999996;0.45999999999999996,0.47;0.48,10,0.0010000000000000009,0,2
"ar,c,rho",0.6100000000000001;0.6143750000000001,0.25625;0.258125,1.344375;1.3584375,10,0.001,0,2
"ar,c,rho",0.44999999999999996;0.45999999999999996,0.44999999999999996;0.45999999999999996,0.45999999999999996;0.47,10,0.0010000000000000009,0,2
"ar,c,rho",0.31999999999999995;0.32999999999999996,0.50625;0.5225,0.97125;1.0125,10,0.0010000000000000009,0,2
"ar,c,rho",0.44999999999999996;0.45999999999999996,0.43999999999999995;0.44999999999999996,0.47;0.48,10,0.0010000000000000009,0,2
"ar,c,rho",0.6143750000000001;0.6165625000000001,0.2590625;0.26,1.3584375;1.36546875,10,0.001,0,2
"ar,c,rho",0.44999999999999996;0.45999999999999996,0.43999999999999995;0.44999999999999996,0.45999999999999996;0.47,10,0.0010000000000000009,0,2
"ar,c,rho",1.9000000000000001;1.9025000000000003,0.2625;0.265,1.5625;1.565,10,0.001,0,1
"ar,c,rho",0.43999999999999995;0.44999999999999996,0.44999999999999996;0.45999999999999996,0.47;0.48,10,0.0010000000000000009,0,2
"ar,c,rho",1.9000000000000001;1.9025000000000003,0.26;0.2625,1.5625;1.565,10,0.001,0,1
"ar,c,rho",1.9000000000000001;1.9025000000000003,0.2625;0.265,1.56;1.5625,10,0.001,0,1
"ar,c,rho",1.9000000000000001;1.9025000000000003,0.26;0.2625,1.56;1.5625,10,0.001,0,1
"ar,c,rho",0.6132812500000001;0.6143750000000001,0.25296874999999996;0.2534375,1.3127343750000002;1.3162500000000001,10,0.001,0,2
"ar,c,rho",0.6132812500000001;0.6143750000000001,0.25296874999999996;0.2534375,1.30921875;1.3127343750000002,10,0.001,0,2
"ar,c,rho",0.6132812500000001;0.6143750000000001,0.2525;0.25296874999999996,1.3127343750000002;1.3162500000000001,10,0.001,0,2
"ar,c,rho",0.6132812500000001;0.6143750000000001,0.2525;0.25296874999999996,1.30921875;1.3127343750000002,10,0.001,0,2
"ar,c,rho",0.6121875000000001;0.6132812500000001,0.25296874999999996;0.2534375,1.3127343750000002;1.3162500000000001,10,0.001,0,2
"ar,c,rho",0.6121875000000001;0.6132812500000001,0.25296874999999996;0.2534375,1.30921875;1.3127343750000002,10,0.001,0,2
"ar,c,rho",0.6121875000000001;0.6132812500000001,0.2525;0.25296874999999996,1.3127343750000002;1.3162500000000001,10,0.001,0,2
